Cultivo;Buenos aires;Cordoba;Santa Fe;Entre Rios;La Pampa;Chaco;Misiones;Corrientes;Formosas;Tucuman;Salta;Santiago del Estero;Jujuy;Catamarca;La Rioja;Mendoza;San Juan;San Luis;Rio Negro;Neuquén;Chubut;Santa Cruz;Tierra del fuego
Aceitunas;18.70161762;155.6058402;0;0;0;0;0;0;0;0;0;0;0;415.3644988;1275.34555;404.9502647;313.1708976;0.419083868;0.314312901;0;0.020954193;0;0
Acelga fresca;727.2875578;133.5366173;129.0721108;52.59839689;16.79132804;41.20388212;43.01304998;38.75708937;20.70082563;75.39503589;63.22578476;45.50218186;35.05346366;19.14972729;17.36994821;90.53148788;35.45683721;22.50676567;49.87335487;43.04971439;19.87874637;5.348630223;2.483437632
Ají fresco;183.8664295;33.7595505;32.63087332;13.29746306;4.245035543;10.41680227;10.87418015;9.7982257;5.233400262;19.06070839;15.98418558;11.50346053;8.861907695;4.841265253;4.391317196;22.88737275;8.963885041;5.689962106;12.60854196;10.88344932;5.025569431;1.352193546;0.627840811
Ajo;4.021121018;2.680747345;0;0;0;0;0;0;0;0;0;0;1.787164897;0;0;132.2502024;30.38180325;0;5.36149469;0;0;2.680747345;0
Alcauciles;40.31092245;7.401452381;7.15400091;2.91533916;0.930682665;2.283782362;2.384058003;2.148165478;1.147371996;4.178874522;3.504376885;2.522021592;1.942886882;1.061400217;0.962753491;5.017833384;1.965244421;1.24746873;2.764299924;2.386090178;1.101807112;0.296455255;0.137647978
Ananá;0;0;0;0;0;0;252.9561627;0.5226367;7.839550496;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Apio, hinojo fresco;347.1983733;63.74878247;61.61748051;25.10984499;8.015978986;19.67024005;20.53391513;18.50217048;9.882326333;35.99268754;30.18323273;21.72219688;16.73410391;9.141850554;8.292205332;43.21864851;16.92666961;10.74446049;23.80894255;20.55141828;9.489875537;2.553372037;1.185563395
Arvejas frescas;121.196911;12.09642873;84.20975388;10.93331059;0.465247259;0;0;0;0;0;3.721978072;0;0.310164839;0;0;0;0.310164839;0;0;0;0;0;0
Banana;0;0;0;0;0;0;1925.654311;0;15405.23449;0;6337.596468;0;706.8857599;0;0;0;0;0;0;0;0;0;0
Batata fresca;140.2122259;140.2122259;140.2122259;140.2122259;0;140.2122259;140.2122259;140.2122259;140.2122259;140.2122259;140.2122259;140.2122259;0;140.2122259;0;140.2122259;0;0;0;0;0;0;0
Berenjenas frescas;497.7109098;91.38425455;88.32902065;35.99511045;11.49095302;28.19740478;29.43548809;26.52297019;14.16637291;51.59572924;43.26784162;31.13889697;23.98843635;13.10489653;11.88692511;61.95418678;24.26448042;15.4022473;34.13025916;29.46057895;13.60379239;3.66027383;1.699512098
Cebolla común fresca;601.0032885;110.3496757;106.6603742;43.46535172;13.87572668;34.04935006;35.54437885;32.02741187;17.10638955;62.30364321;52.24742834;37.60130452;28.96687384;15.82461978;14.35387679;74.81184209;29.30020669;18.59875099;41.21347872;35.57467695;16.42705394;4.419908355;2.052220154
Cebolla de verdeo, puerro fresco;287.3365052;52.75759846;50.99376285;20.78055561;6.633911806;16.27881484;16.99358023;15.31213685;8.1784747;29.7870435;24.97922017;17.97698555;13.84890974;7.565667329;6.862512856;35.76714748;14.00827442;8.891964839;19.703947;17.00806559;7.853687924;2.113134893;0.981155641
Cerezas, guindas frescas;33.48334614;0;0;0;0;0;0;0;0;0;0;0;0;7.504887929;0;1443.824978;48.493122;8.082187;498.0979609;414.4852975;636.5108158;392.6405476;0
Chauchas frescas;200.9459005;36.89549689;35.66197616;14.53267297;4.639359629;11.38442575;11.88428974;10.7083892;5.719534183;20.83126986;17.46896688;12.57202438;9.685096008;5.2909735;4.799229478;25.01339555;9.796546095;6.21850635;13.77975754;11.89441994;5.492397812;1.477799675;0.686161349
Choclo fresco;1295.663813;237.8956727;229.942148;93.70411845;29.91377465;73.40477427;76.62780938;69.04580953;36.87855014;134.3163631;112.636825;81.06220134;62.44779509;34.11526625;30.94458731;161.2819737;63.16640565;40.09583488;88.84945225;76.69312708;35.41401478;9.528592307;4.424247654
Ciruela;0;6.935118318;17.33779579;3.082274808;0;0;9.921072038;0;0;7.513044844;12.61806249;0.963210877;38.14315075;30.82274808;46.61940647;1745.853779;250.1832823;3.082274808;460.8214652;165.8106211;4.816054387;10.2100353;0
Coliflor, brócoli fresco;673.7637574;123.7091603;119.5732134;48.72748494;15.55559166;38.17153495;39.84755942;35.9048108;19.17737476;69.84643437;58.57276376;42.15350681;32.4737487;17.74042753;16.09162903;83.86893847;32.84743649;20.85040895;46.20298892;39.88152556;18.41579538;4.955004602;2.300672206
