Cultivo,min_prod
Aceitunas,7597
Acelga fresca,24103
Ají fresco,20549
Ajo,1285
Alcauciles,1898
Ananá,9982
"Apio, hinojo fresco",16201
Arvejas frescas,570
Banana,527727
Batata fresca,24790
Berenjenas frescas,26754
Cebolla común fresca,34095
"Cebolla de verdeo, puerro fresco",16301
"Cerezas, guindas frescas",12784
Chauchas frescas,4717
Choclo fresco,25110
Ciruela,25745
"Coliflor, brócoli fresco",20432
Damasco,3661
Durazno,64215
Espinaca fresca,31520
Frutillas frescas,27659
Hongos,2835
Huevos de gallina,1669601784
Kiwi fresco,23988
Lechuga fresca,53513
Limón,28863
Mandarina,107937
Manzana,174949
Melón fresco,32306
Naranja,181478
Palta fresca,44958
Pelón fresco,12091
Pepino fresco,10258
Pera,73808
Pomelo fresco,30833
Rabanitos,851
"Radicheta, radicha, rúcula fresca",22399
Remolacha fresca,25954
Repollo fresco,17754
Sandia fresca,14203
Tomate Cherry,21491
Tomate redondo fresco,161477
Uva fresca,45988
Yerba mate,66216
Zanahoria fresca,80075
Zapallitos frescos,67080
Zapallo fresco,108347
