Cultivo;Buenos aires;Cordoba;Santa Fe;Entre Rios;La Pampa;Chaco;Misiones;Corrientes;Formosas;Tucuman;Salta;Santiago del Estero;Jujuy;Catamarca;La Rioja;Mendoza;San Juan;San Luis;Rio Negro;Neuquén;Chubut;Santa Cruz;Tierra del fuego
Aceitunas;2.94;2.94;2.94;0;0;0;0;0;0;0;2.94;2.94;0;2.94;2.94;2.94;2.94;2.94;2.94;2.94;2.94;0;0
Acelga fresca;28.89355444;28.89355444;28.89355444;23.50806944;23.50806944;23.50806944;23.50806944;23.50806944;23.50806944;11.540325;11.540325;11.540325;11.540325;11.540325;11.540325;11.540325;11.540325;11.540325;7.69355;7.69355;2.308065;2.308065;2.308065
Ají fresco;46.94444444;46.94444444;46.94444444;38.19444444;38.19444444;38.19444444;38.19444444;38.19444444;38.19444444;18.75;18.75;18.75;18.75;18.75;18.75;18.75;18.75;18.75;12.5;12.5;3.75;3.75;3.75
Ajo;18.00788889;18.00788889;18.00788889;14.65138889;14.65138889;14.65138889;14.65138889;14.65138889;14.65138889;7.1925;7.1925;7.1925;7.1925;7.1925;7.1925;7.1925;7.1925;7.1925;4.795;4.795;1.4385;1.4385;1.4385
Alcauciles;41.04822222;41.04822222;41.04822222;33.39722222;33.39722222;33.39722222;33.39722222;33.39722222;33.39722222;16.395;16.395;16.395;16.395;16.395;16.395;16.395;16.395;16.395;10.93;10.93;3.279;3.279;3.279
Ananá;0;0;0;0;0;19.0851735;63.61724501;63.61724501;63.61724501;19.0851735;19.0851735;0;19.0851735;0;0;0;0;0;0;0;0;0;0
Apio, hinojo fresco;40.68299444;40.68299444;40.68299444;33.10006944;33.10006944;33.10006944;33.10006944;33.10006944;33.10006944;16.249125;16.249125;16.249125;16.249125;16.249125;16.249125;16.249125;16.249125;16.249125;10.83275;10.83275;3.249825;3.249825;3.249825
Arvejas frescas;4.60018;4.60018;4.60018;3.74275;3.74275;3.74275;3.74275;3.74275;3.74275;1.83735;1.83735;1.83735;1.83735;1.83735;1.83735;1.83735;1.83735;1.83735;1.2249;1.2249;0.36747;0.36747;0.36747
Banana;0;0;0;0;0;25.98;25.98;10.825;25.98;10.825;25.98;0;25.98;0;0;0;0;0;0;0;0;0;0
Batata fresca;13.6;13.6;13.6;13.6;0;13.6;13.6;13.6;13.6;13.6;13.6;13.6;0;13.6;0;13.6;0;0;0;0;0;0;0
Berenjenas frescas;46.8662789;46.8662789;46.8662789;38.13084822;38.13084822;38.13084822;38.13084822;38.13084822;38.13084822;18.71878003;18.71878003;18.71878003;18.71878003;18.71878003;18.71878003;18.71878003;18.71878003;18.71878003;12.47918669;12.47918669;3.743756007;3.743756007;3.743756007
Cebolla común fresca;49.46066667;49.46066667;49.46066667;40.24166667;40.24166667;40.24166667;40.24166667;40.24166667;40.24166667;19.755;19.755;19.755;19.755;19.755;19.755;19.755;19.755;19.755;13.17;13.17;3.951;3.951;3.951
Cebolla de verdeo, puerro fresco;18.77777778;18.77777778;18.77777778;15.27777778;15.27777778;15.27777778;15.27777778;15.27777778;15.27777778;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;7.5;5;5;1.5;1.5;1.5
Cerezas, guindas frescas;1.22;0;0;0;0;0;0;0;0;0;0;0;0;1.22;1.22;6.26;1.22;1.22;6.26;6.26;6.26;6.26;0
Chauchas frescas;20.46719413;20.46719413;20.46719413;16.65230292;16.65230292;16.65230292;16.65230292;16.65230292;16.65230292;8.174766887;8.174766887;8.174766887;8.174766887;8.174766887;8.174766887;8.174766887;8.174766887;8.174766887;5.449844591;5.449844591;1.634953377;1.634953377;1.634953377
Choclo fresco;16.8966528;16.8966528;16.8966528;13.74727669;13.74727669;13.74727669;13.74727669;13.74727669;13.74727669;6.7486631;6.7486631;6.7486631;6.7486631;6.7486631;6.7486631;6.7486631;6.7486631;6.7486631;4.499108733;4.499108733;1.34973262;1.34973262;1.34973262
Ciruela;0;3.5;3.5;3.5;0;0;7;0;0;3.5;7;3.5;7;7;7;23.3075;23.3075;3.5;23.3075;23.3075;3.5;3.5;0
Coliflor, brócoli fresco;26.4388234;26.4388234;26.4388234;21.51087703;21.51087703;21.51087703;21.51087703;21.51087703;21.51087703;10.55988509;10.55988509;10.55988509;10.55988509;10.55988509;10.55988509;10.55988509;10.55988509;10.55988509;7.039923391;7.039923391;2.111977017;2.111977017;2.111977017
Damasco;4.51;0;0;0;0;0;0;0;0;4.51;4.51;0;0;4.51;4.51;39.85;39.85;4.51;4.51;4.51;4.51;4.51;0
Durazno;31.20722222;9.685;31.20722222;9.685;0;0;9.685;9.685;9.685;9.685;31.20722222;9.685;31.20722222;31.20722222;31.20722222;31.20722222;9.685;9.685;31.20722222;31.20722222;9.685;9.685;0
Espinaca fresca;22.1316533;22.1316533;22.1316533;18.00652266;18.00652266;18.00652266;18.00652266;18.00652266;18.00652266;8.839565668;8.839565668;8.839565668;8.839565668;8.839565668;8.839565668;8.839565668;8.839565668;8.839565668;5.893043779;5.893043779;1.767913134;1.767913134;1.767913134
Frutillas frescas;168.75;0;168.75;16.07142857;0;16.07142857;16.07142857;16.07142857;16.07142857;16.07142857;16.07142857;16.07142857;16.07142857;16.07142857;16.07142857;16.07142857;16.07142857;16.07142857;16.07142857;16.07142857;16.07142857;0;0
Hongos;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5;62.5
Huevos de gallina;611315.3595;611315.3595;611315.3595;611315.3595;611315.3595;611315.3595;611315.3595;611315.3595;611315.3595;611315.3595;611315.3595;611315.3595;611315.3595;611315.3595;611315.3595;611315.3595;611315.3595;611315.3595;268382.3529;268382.3529;268382.3529;268382.3529;268382.3529
Kiwi fresco;31.15;0;0;4.45;0;0;4.45;0;0;4.45;0;0;4.45;0;0;0;0;0;4.45;0;0;0;0
Lechuga fresca;24.70755381;24.70755381;24.70755381;20.1022997;20.1022997;20.1022997;20.1022997;20.1022997;20.1022997;9.868401671;9.868401671;9.868401671;9.868401671;9.868401671;9.868401671;9.868401671;9.868401671;9.868401671;6.578934447;6.578934447;1.973680334;1.973680334;1.973680334
Limón;51.175;15.575;15.575;51.175;0;15.575;51.175;51.175;15.575;51.175;51.175;15.575;51.175;15.575;15.575;0;15.575;15.575;0;0;0;0;0
Mandarina;6.215;0;0;27.9675;0;0;0;27.9675;0;6.215;6.215;0;6.215;6.215;0;0;0;0;0;0;0;0;0
Manzana;18.09;18.09;18.09;18.09;0;0;18.09;0;0;18.09;18.09;0;18.09;18.09;18.09;94.9725;94.9725;18.09;94.9725;94.9725;18.09;18.09;0
Melón fresco;5.850819655;0;0;5.850819655;0;0;0;0;0;0;5.850819655;23.40327862;0;5.850819655;5.850819655;23.40327862;23.40327862;0;5.850819655;0;0;0;0
Naranja;28.635;8.715;8.715;28.635;0;8.715;28.635;28.635;8.715;28.635;28.635;8.715;28.635;8.715;8.715;0;8.715;8.715;0;0;0;0;0
Palta fresca;0;0;0;0;0;5;12;5;12;12;12;0;12;0;0;0;0;0;0;0;0;0;0
Pelón fresco;31.20722222;9.685;31.20722222;9.685;0;0;9.685;9.685;9.685;9.685;31.20722222;9.685;31.20722222;31.20722222;31.20722222;31.20722222;9.685;9.685;31.20722222;31.20722222;9.685;9.685;0
Pepino fresco;39.98235596;39.98235596;39.98235596;32.53002334;32.53002334;32.53002334;32.53002334;32.53002334;32.53002334;15.96928419;15.96928419;15.96928419;15.96928419;15.96928419;15.96928419;15.96928419;15.96928419;15.96928419;10.64618946;10.64618946;3.193856837;3.193856837;3.193856837
Pera;14.275;14.275;0;0;0;0;0;0;0;14.275;14.275;0;14.275;14.275;14.275;80.89166667;14.275;14.275;80.89166667;80.89166667;14.275;14.275;0
Pomelo fresco;38.60714286;11.75;11.75;38.60714286;0;11.75;38.60714286;38.60714286;11.75;38.60714286;38.60714286;11.75;38.60714286;11.75;11.75;0;11.75;11.75;0;0;0;0;0
Rabanitos;12.97818985;12.97818985;12.97818985;10.55917813;10.55917813;10.55917813;10.55917813;10.55917813;10.55917813;5.183596536;5.183596536;5.183596536;5.183596536;5.183596536;5.183596536;5.183596536;5.183596536;5.183596536;3.455731024;3.455731024;1.036719307;1.036719307;1.036719307
Radicheta, radicha, rúcula fresca;21.50760471;21.50760471;21.50760471;17.49879082;17.49879082;17.49879082;17.49879082;17.49879082;17.49879082;8.590315491;8.590315491;8.590315491;8.590315491;8.590315491;8.590315491;8.590315491;8.590315491;8.590315491;5.726876994;5.726876994;1.718063098;1.718063098;1.718063098
Remolacha fresca;28.16666667;28.16666667;28.16666667;22.91666667;22.91666667;22.91666667;22.91666667;22.91666667;22.91666667;11.25;11.25;11.25;11.25;11.25;11.25;11.25;11.25;11.25;7.5;7.5;2.25;2.25;2.25
Repollo fresco;32.58743726;32.58743726;32.58743726;26.51344747;26.51344747;26.51344747;26.51344747;26.51344747;26.51344747;13.0156924;13.0156924;13.0156924;13.0156924;13.0156924;13.0156924;13.0156924;13.0156924;13.0156924;8.677128264;8.677128264;2.603138479;2.603138479;2.603138479
Sandia fresca;8.721763325;0;0;26.16528998;0;0;0;26.16528998;26.16528998;8.721763325;0;0;0;0;0;8.721763325;0;0;0;0;0;0;0
