Cultivo;Buenos aires;Cordoba;Santa Fe;Entre Rios;La Pampa;Chaco;Misiones;Corrientes;Formosas;Tucuman;Salta;Santiago del Estero;Jujuy;Catamarca;La Rioja;Mendoza;San Juan;San Luis;Rio Negro;Neuquén;Chubut;Santa Cruz;Tierra del fuego
Aceitunas;1.17752508;1.76273022;0;0;0;0;0;0;0;0;0;0;0;2.263618311;3.122929835;4.277257366;5.013304095;0.222494763;0;0;0;0;0
Acelga fresca;68.95469495;55.24579927;42.38859156;27.30610083;14.46356249;8.595945938;4.94983623;2.753974249;1.320324389;0.779834617;0.470438449;0.28122982;0.134899196;0.056548661;0.021597872;0.012479627;0.005539817;0.002814733;0.001279656;0.000543825;0.000192959;4.46323E-05;3.81894E-06
Ají fresco;112.4864663;89.77440614;68.60844491;43.89474996;22.97567752;13.54907976;7.742885875;4.273557029;2.02682623;1.189257741;0.712252399;0.422166909;0.200553553;0.083006408;0.031284205;0.017969217;0.007900303;0.003966777;0.001785611;0.000750831;0.000262451;5.91124E-05;4.86771E-06
Ajo;14.2458773;12.4011392;0;0;0;0;0;0;0;0;0;0;6.459672818;0;0;9.399071808;9.539499968;0;6.041108378;0;0;2.450369288;0
Alcauciles;100.5935282;73.88259414;51.85082874;28.49101471;11.25375381;5.572956455;2.68544397;1.2372079;0.455871339;0.231173038;0.117809827;0.057535152;0.021877145;0.006671769;0.001823464;0.000918924;0.000323809;0.000122787;4.39618E-05;1.44351E-05;3.48355E-06;3.50351E-07;5.70628E-09
Ananá;0;0;0;0;0;0;59.96722961;19.21322237;11.20150165;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Apio, hinojo fresco;98.03769126;77.77003893;59.06619744;37.38532155;19.20441634;11.18750611;6.317317117;3.44304325;1.605316892;0.932237984;0.552010908;0.322821083;0.151037773;0.061265157;0.022609028;0.012865561;0.005571303;0.002745457;0.001216671;0.000503098;0.000171728;3.70557E-05;2.86581E-06
Arvejas frescas;4.174587019;2.43321145;2.145416124;1.111159139;0.022698918;0;0;0;0;0;0.006538995;0;0;0;0;0;0;0;0;0;0;0;0
Banana;0;0;0;0;0;0;19.25707013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Batata fresca;19.57675951;19.16989352;18.05731912;16.19508909;0;13.90759304;11.49519987;9.329882492;7.235092841;5.885950444;5.021247141;4.467806655;0;3.234538193;0;2.506515095;0;0;0;0;0;0;0
Berenjenas frescas;111.5417344;89.58596124;68.91013157;44.58367372;23.79258451;14.21000571;8.222045866;4.59779281;2.219368113;1.316321566;0.79771757;0.479457282;0.231392556;0.09777872;0.037658808;0.021842099;0.009754962;0.004993555;0.002284459;0.000977364;0.000350064;8.23233E-05;7.21242E-06
Cebolla común fresca;116.9435937;94.44076786;73.05357279;47.7221457;25.89272696;15.6340877;9.143225886;5.17079144;2.533915273;1.516886232;0.928661085;0.564882642;0.276336246;0.118858786;0.046631851;0.027274376;0.012346253;0.006425322;0.002980529;0.001294219;0.00047327;0.000115391;1.06384E-05
Cebolla de verdeo, puerro fresco;45.24424012;35.89652014;27.26783094;17.26381914;8.872672467;5.170443688;2.920554414;1.592284894;0.742739561;0.431441543;0.255548927;0.149500822;0.069975117;0.028399147;0.010486194;0.0059686;0.002585687;0.001274826;0.000565184;0.00023381;7.98599E-05;1.72522E-05;1.33654E-06
Cerezas, guindas frescas;5.34697481;0;0;0;0;0;0;0;0;0;0;0;0;2.310580424;0;4.147814229;3.139162467;1.649860163;2.385452456;3.225139943;4.445038497;5.068429671;0
Chauchas frescas;50.31128896;38.40956042;28.04776558;16.56505802;7.511854801;4.043197034;2.113257482;1.061380214;0.442219896;0.24029069;0.132225963;0.070858362;0.030002524;0.010637788;0.00340915;0.001827373;0.000716553;0.000311817;0.000124719;4.61845E-05;1.34214E-05;2.11169E-06;9.79146E-08
Choclo fresco;40.28113721;32.3042005;24.8108111;16.01017543;8.50547289;5.064786899;2.922029;1.629011382;0.783098201;0.463291451;0.279988709;0.167735813;0.080653479;0.033916799;0.01299698;0.007521086;0.00334671;0.001705468;0.000777276;0.000331201;0.000117955;2.74634E-05;2.3721E-06
Ciruela;64.44685021;32.54884814;20.35647868;7.022222688;0;0;3.980291189;0;0;1.712013726;1.058357398;0.185072903;0.124577988;0.078382916;0.049284355;0.059804456;0.051512261;0.016880856;0.016240089;0.013142074;0.003947973;0.001324506;0
Coliflor, brócoli fresco;63.3606423;50.56038226;38.63423999;24.71146538;12.92900076;7.62224346;4.354666844;2.402780431;1.139118765;0.6682266;0.40009829;0.23707249;0.112583143;0.046574866;0.017544989;0.010075405;0.004428167;0.002222436;0.001000047;0.000420346;0.00014685;3.30428E-05;2.71709E-06
Damasco;1.755105857;0;0;0;0;0;0;0;0;0;1.732048144;0;0;1.629250498;2.619999969;9.763237405;23.16873415;5.535329549;7.325215749;13.39062848;17.77857619;0;0
Durazno;103.9578998;60.9443136;44.46588936;14.54923192;0;0;6.351299325;1.583614147;0.064967194;0.027709777;0.016003676;0.003139584;0.001857029;0.000967057;0.000483093;0.000402384;0.000160329;6.03882E-05;4.11703E-05;2.11547E-05;5.94687E-06;1.82507E-07;0
